2025-01-25 17:50:35 - 交易日期: 2023-10-27, 交易合约: 10005329.XSHG(Call), 交易份数: 1, 交易价格: 0.1297
2025-01-26 10:41:08 - 交易日期: 2024-09-27, 交易合约: 10007877.XSHG(Put), 交易份数: 1, 交易价格: 0.0583
2025-01-26 10:41:08 - 交易日期: 2024-09-30, 交易合约: 10007869.XSHG(Call), 交易份数: 1, 交易价格: 0.303
2025-01-26 10:41:08 - 交易日期: 2024-09-30, 交易合约: 10007877.XSHG(Put), 交易份数: 1, 交易价格: 0.0408
2025-01-26 10:41:12 - 交易日期: 2024-09-30, 交易合约: 10007985.XSHG(Call), 交易份数: 1, 交易价格: 0.2111
2025-01-26 10:41:12 - 交易日期: 2024-09-30, 交易合约: 10007987.XSHG(Put), 交易份数: 1, 交易价格: 0.1183
2025-01-26 10:41:12 - 交易日期: 2024-10-08, 交易合约: 10007985.XSHG(Call), 交易份数: 1, 交易价格: 0.2891
2025-01-26 10:41:12 - 交易日期: 2024-10-08, 交易合约: 10007987.XSHG(Put), 交易份数: 1, 交易价格: 0.1488
2025-01-26 10:41:16 - 交易日期: 2024-10-11, 交易合约: 10007955.XSHG(Call), 交易份数: 1, 交易价格: 0.1571
2025-01-26 10:41:16 - 交易日期: 2024-10-11, 交易合约: 10007878.XSHG(Put), 交易份数: 1, 交易价格: 0.0864
2025-01-26 10:41:17 - 交易日期: 2024-10-14, 交易合约: 10007955.XSHG(Call), 交易份数: 1, 交易价格: 0.1549
2025-01-26 10:41:17 - 交易日期: 2024-10-14, 交易合约: 10007878.XSHG(Put), 交易份数: 1, 交易价格: 0.0506
2025-01-26 10:41:18 - 交易日期: 2024-10-18, 交易合约: 10007955.XSHG(Call), 交易份数: 1, 交易价格: 0.125
2025-01-26 10:41:18 - 交易日期: 2024-10-18, 交易合约: 10007878.XSHG(Put), 交易份数: 1, 交易价格: 0.0533
2025-01-26 10:41:18 - 交易日期: 2024-10-21, 交易合约: 10007955.XSHG(Call), 交易份数: 1, 交易价格: 0.1205
2025-01-26 10:41:18 - 交易日期: 2024-10-21, 交易合约: 10007878.XSHG(Put), 交易份数: 1, 交易价格: 0.0491
2025-01-26 10:41:20 - 交易日期: 2024-09-13, 交易合约: 10007709.XSHG(Call), 交易份数: 1, 交易价格: 0.067
2025-01-26 10:41:20 - 交易日期: 2024-09-13, 交易合约: 10007718.XSHG(Put), 交易份数: 1, 交易价格: 0.022
2025-01-26 10:41:20 - 交易日期: 2024-09-18, 交易合约: 10007709.XSHG(Call), 交易份数: 1, 交易价格: 0.0745
2025-01-26 10:41:20 - 交易日期: 2024-09-18, 交易合约: 10007718.XSHG(Put), 交易份数: 1, 交易价格: 0.0168
2025-01-26 10:41:21 - 交易日期: 2024-09-20, 交易合约: 10007711.XSHG(Call), 交易份数: 1, 交易价格: 0.0235
2025-01-26 10:41:21 - 交易日期: 2024-09-20, 交易合约: 10007800.XSHG(Put), 交易份数: 1, 交易价格: 0.0038
2025-01-26 10:41:21 - 交易日期: 2024-09-23, 交易合约: 10007711.XSHG(Call), 交易份数: 1, 交易价格: 0.0242
2025-01-26 10:41:21 - 交易日期: 2024-09-23, 交易合约: 10007800.XSHG(Put), 交易份数: 1, 交易价格: 0.0029
2025-01-26 10:41:23 - 交易日期: 2024-09-27, 交易合约: 10007955.XSHG(Call), 交易份数: 1, 交易价格: 0.1243
2025-01-26 10:41:23 - 交易日期: 2024-09-27, 交易合约: 10007876.XSHG(Put), 交易份数: 1, 交易价格: 0.0397
2025-01-26 10:41:23 - 交易日期: 2024-09-30, 交易合约: 10007955.XSHG(Call), 交易份数: 1, 交易价格: 0.2768
2025-01-26 10:41:23 - 交易日期: 2024-09-30, 交易合约: 10007876.XSHG(Put), 交易份数: 1, 交易价格: 0.0288
2025-01-26 10:41:24 - 交易日期: 2024-09-30, 交易合约: 10007985.XSHG(Call), 交易份数: 1, 交易价格: 0.2111
2025-01-26 10:41:24 - 交易日期: 2024-09-30, 交易合约: 10007987.XSHG(Put), 交易份数: 1, 交易价格: 0.1183
2025-01-26 10:41:24 - 交易日期: 2024-10-08, 交易合约: 10007985.XSHG(Call), 交易份数: 1, 交易价格: 0.2891
2025-01-26 10:41:24 - 交易日期: 2024-10-08, 交易合约: 10007987.XSHG(Put), 交易份数: 1, 交易价格: 0.1488
2025-01-26 10:41:26 - 交易日期: 2024-10-11, 交易合约: 10007956.XSHG(Call), 交易份数: 1, 交易价格: 0.1371
2025-01-26 10:41:26 - 交易日期: 2024-10-11, 交易合约: 10007877.XSHG(Put), 交易份数: 1, 交易价格: 0.0646
2025-01-26 10:41:26 - 交易日期: 2024-10-14, 交易合约: 10007956.XSHG(Call), 交易份数: 1, 交易价格: 0.129
2025-01-26 10:41:26 - 交易日期: 2024-10-14, 交易合约: 10007877.XSHG(Put), 交易份数: 1, 交易价格: 0.0362
2025-01-26 10:41:27 - 交易日期: 2024-10-18, 交易合约: 10007956.XSHG(Call), 交易份数: 1, 交易价格: 0.1042
2025-01-26 10:41:27 - 交易日期: 2024-10-18, 交易合约: 10007877.XSHG(Put), 交易份数: 1, 交易价格: 0.0342
2025-01-26 10:41:28 - 交易日期: 2024-10-21, 交易合约: 10007956.XSHG(Call), 交易份数: 1, 交易价格: 0.0975
2025-01-26 10:41:28 - 交易日期: 2024-10-21, 交易合约: 10007877.XSHG(Put), 交易份数: 1, 交易价格: 0.0312
2025-01-26 10:55:48 - 交易日期: 2024-09-06, 交易合约: 10007710.XSHG(Call), 交易份数: 1, 交易价格: 0.0759
2025-01-26 10:55:48 - 交易日期: 2024-09-06, 交易合约: 10007719.XSHG(Put), 交易份数: 1, 交易价格: 0.0198
2025-01-26 10:55:48 - 交易日期: 2024-09-09, 交易合约: 10007710.XSHG(Call), 交易份数: 1, 交易价格: 0.0577
2025-01-26 10:55:48 - 交易日期: 2024-09-09, 交易合约: 10007719.XSHG(Put), 交易份数: 1, 交易价格: 0.0336
2025-01-26 10:55:50 - 交易日期: 2024-09-13, 交易合约: 10007709.XSHG(Call), 交易份数: 1, 交易价格: 0.067
2025-01-26 10:55:50 - 交易日期: 2024-09-13, 交易合约: 10007718.XSHG(Put), 交易份数: 1, 交易价格: 0.022
2025-01-26 10:55:50 - 交易日期: 2024-09-18, 交易合约: 10007709.XSHG(Call), 交易份数: 1, 交易价格: 0.0745
2025-01-26 10:55:50 - 交易日期: 2024-09-18, 交易合约: 10007718.XSHG(Put), 交易份数: 1, 交易价格: 0.0168
2025-01-26 10:55:52 - 交易日期: 2024-09-20, 交易合约: 10007710.XSHG(Call), 交易份数: 1, 交易价格: 0.0482
2025-01-26 10:55:52 - 交易日期: 2024-09-20, 交易合约: 10007719.XSHG(Put), 交易份数: 1, 交易价格: 0.023
2025-01-26 10:55:52 - 交易日期: 2024-09-23, 交易合约: 10007710.XSHG(Call), 交易份数: 1, 交易价格: 0.0521
2025-01-26 10:55:52 - 交易日期: 2024-09-23, 交易合约: 10007719.XSHG(Put), 交易份数: 1, 交易价格: 0.0179
2025-01-26 10:55:54 - 交易日期: 2024-09-27, 交易合约: 10007868.XSHG(Call), 交易份数: 1, 交易价格: 0.1683
2025-01-26 10:55:54 - 交易日期: 2024-09-27, 交易合约: 10007877.XSHG(Put), 交易份数: 1, 交易价格: 0.0583
2025-01-26 10:55:54 - 交易日期: 2024-09-30, 交易合约: 10007868.XSHG(Call), 交易份数: 1, 交易价格: 0.3385
2025-01-26 10:55:54 - 交易日期: 2024-09-30, 交易合约: 10007877.XSHG(Put), 交易份数: 1, 交易价格: 0.0408
2025-01-26 10:55:55 - 交易日期: 2024-09-30, 交易合约: 10007985.XSHG(Call), 交易份数: 1, 交易价格: 0.2111
2025-01-26 10:55:55 - 交易日期: 2024-09-30, 交易合约: 10007987.XSHG(Put), 交易份数: 1, 交易价格: 0.1183
2025-01-26 10:55:56 - 交易日期: 2024-10-08, 交易合约: 10007985.XSHG(Call), 交易份数: 1, 交易价格: 0.2891
2025-01-26 10:55:56 - 交易日期: 2024-10-08, 交易合约: 10007987.XSHG(Put), 交易份数: 1, 交易价格: 0.1488
2025-01-26 10:55:57 - 交易日期: 2024-10-11, 交易合约: 10007955.XSHG(Call), 交易份数: 1, 交易价格: 0.1571
2025-01-26 10:55:57 - 交易日期: 2024-10-11, 交易合约: 10007957.XSHG(Put), 交易份数: 1, 交易价格: 0.1097
2025-01-26 10:55:57 - 交易日期: 2024-10-14, 交易合约: 10007955.XSHG(Call), 交易份数: 1, 交易价格: 0.1549
2025-01-26 10:55:57 - 交易日期: 2024-10-14, 交易合约: 10007957.XSHG(Put), 交易份数: 1, 交易价格: 0.0703
2025-01-26 10:55:59 - 交易日期: 2024-10-18, 交易合约: 10007955.XSHG(Call), 交易份数: 1, 交易价格: 0.125
2025-01-26 10:55:59 - 交易日期: 2024-10-18, 交易合约: 10007957.XSHG(Put), 交易份数: 1, 交易价格: 0.078
2025-01-26 10:55:59 - 交易日期: 2024-10-21, 交易合约: 10007955.XSHG(Call), 交易份数: 1, 交易价格: 0.1205
2025-01-26 10:55:59 - 交易日期: 2024-10-21, 交易合约: 10007957.XSHG(Put), 交易份数: 1, 交易价格: 0.0725
2025-01-26 10:56:00 - 交易日期: 2024-09-06, 交易合约: 10007710.XSHG(Call), 交易份数: 1, 交易价格: 0.0759
2025-01-26 10:56:00 - 交易日期: 2024-09-06, 交易合约: 10007719.XSHG(Put), 交易份数: 1, 交易价格: 0.0198
2025-01-26 10:56:04 - 交易日期: 2024-09-09, 交易合约: 10007710.XSHG(Call), 交易份数: 1, 交易价格: 0.0577
2025-01-26 10:56:04 - 交易日期: 2024-09-09, 交易合约: 10007719.XSHG(Put), 交易份数: 1, 交易价格: 0.0336
2025-01-26 10:56:05 - 交易日期: 2024-09-13, 交易合约: 10007709.XSHG(Call), 交易份数: 1, 交易价格: 0.067
2025-01-26 10:56:05 - 交易日期: 2024-09-13, 交易合约: 10007718.XSHG(Put), 交易份数: 1, 交易价格: 0.022
2025-01-26 10:56:05 - 交易日期: 2024-09-18, 交易合约: 10007709.XSHG(Call), 交易份数: 1, 交易价格: 0.0745
2025-01-26 10:56:06 - 交易日期: 2024-09-18, 交易合约: 10007718.XSHG(Put), 交易份数: 1, 交易价格: 0.0168
2025-01-26 10:56:07 - 交易日期: 2024-09-20, 交易合约: 10007710.XSHG(Call), 交易份数: 1, 交易价格: 0.0482
2025-01-26 10:56:07 - 交易日期: 2024-09-20, 交易合约: 10007718.XSHG(Put), 交易份数: 1, 交易价格: 0.0099
2025-01-26 10:56:07 - 交易日期: 2024-09-23, 交易合约: 10007710.XSHG(Call), 交易份数: 1, 交易价格: 0.0521
